Ciudad;Año;Mes;PM2.5;PM10;NO2;SO2;O3;Temperatura;Humedad;Indice_AQI
Cali;2017;6;190.147.595.327.065;588.236.741.652.641;2.071.571.565.244.420;1.710.198.215.549.260;31.202.702.754.834.800;22.088.440.324.591.900;5.550.744.418.315.500;7.302.521.481.721.480
Bucaramanga;2018;12;9.744.011.485.789.260;8.337.928.963.436.360;12.169.145.636.235.500;17.567.224.876.945.700;35.305.919.866.221.200;19.323.686.477.448.200;6.539.320.632.737.050;12.513.971.445.757.500
Medellín;2022;7;33.389.320.723.849.300;5.562.914.586.441.910;20.688.202.796.504.200;7.928.101.171.462.220;3.244.414.609.262.170;18.724.258.656.264.500;7.025.017.065.197.900;918.240.992.084.078
Santa Marta;2020;7;59.085.169.371.236.800;10.664.239.215.154.600;20.315.223.492.680.800;1.451.160.963.351.680;3.550.726.745.957.490;2.225.305.423.586.100;4.690.569.810.681.490;7.418.316.833.877.000
Cúcuta;2016;4;3.287.506.052.191.630;768.954.994.518.459;29.464.467.833.047.700;1.0;2.393.142.166.128.030;17.346.984.841.693.700;5.423.053.982.240.100;1.405.276.577.161.590
Cartagena;2023;4;39.534.843.505.224.100;5.759.954.101.846.570;23.949.984.970.958.700;11.196.450.573.901.700;3.631.494.053.087.510;2.539.825.523.972.370;6.009.993.195.970.870;14.551.652.509.945.900
Bucaramanga;2016;4;5.563.395.446.456.310;5.822.616.601.061.450;1.746.735.788.262.850;13.279.778.111.093.900;30.210.694.050.999.300;18.771.788.163.818.300;935.234.759.910.597;10.514.915.555.642.700
Barranquilla;2019;11;28.938.570.322.514.000;597.240.049.458.393;3.604.263.067.260.660;1.031.498.892.789.270;2.433.827.374.156.370;2.702.477.757.222.910;5.753.912.285.912.340;11.802.817.581.075.500
Santa Marta;2018;5;6.553.297.185.079.390;9.745.499.332.497.740;26.404.258.674.448.300;9.645.459.464.596.200;27.049.382.853.200.700;26.912.936.906.556.400;6.916.312.569.933.870;15.298.356.306.008.300
Manizales;2021;5;648.814.161.124.618;4.462.497.984.797.430;29.354.156.527.309.400;5.977.286.926.529.580;28.825.177.968.906.900;2.172.282.160.437.900;543.915.437.970.927;8.418.051.766.407.530
Cúcuta;2022;8;3.303.332.991.979.270;566.411.665.908.099;775.014.565.868.733;13.274.898.969.569.100;12.655.459.955.264.600;24.901.511.149.274.800;58.353.952.117.786.600;11.394.326.269.413.300
Manizales;2019;9;2.633.698.603.971.180;5.876.678.886.149.140;5.0;18.390.926.894.494.500;2.236.008.904.116.080;2.515.181.954.763.390;4.838.487.442.678.450;8.454.626.187.210.430
Bogotá;2024;2;454.585.706.958.547;6.968.624.066.486.120;10.624.542.185.555.900;1.0;3.077.886.618.711.340;14.688.341.954.275.900;8.005.453.532.010.510;5.926.168.004.363.140
Bogotá;2019;11;2.978.712.586.221.710;6.457.780.614.706.410;20.194.565.743.932.200;9.612.494.056.061.420;13.788.107.575.333.700;3.065.846.494.326.810;5.011.680.613.847.430;8.421.408.790.864.010
Cúcuta;2016;7;17.651.671.743.989.900;4.017.544.337.219.070;30.763.560.176.138.000;5.148.258.252.931.990;22.560.916.058.225.000;2.072.128.142.856.420;8.360.516.519.717.000;5.500.225.777.862.090
Cúcuta;2022;1;542.185.798.028.447;6.200.354.632.809.060;5.0;25.476.700.297.307.400;58.615.739.740.462.400;254.778.675.670.785;7.701.845.794.082.460;11.702.223.954.767.400
Barranquilla;2016;1;532.467.108.091.562;6.800.898.633.630.060;4.092.852.064.371.980;435.012.064.607.792;1.644.889.962.214.560;2.561.811.755.526.410;688.689.722.940.011;691.127.901.975.016
Cúcuta;2024;4;3.733.267.405.645.340;5.743.804.329.840.430;26.705.660.267.701.200;11.898.364.278.422.000;2.539.423.304.819.480;9.552.314.542.322.950;841.003.884.308.976;4.411.785.068.029.330
Cali;2020;10;1.605.702.869.407.730;837.355.097.809.533;38.602.949.929.499.100;1.202.481.098.795.580;19.995.392.657.655.200;18.715.354.026.252.600;100.0;1.297.082.738.290.250
Manizales;2022;7;1.655.710.623.173.920;8.838.816.857.507.290;1.614.029.917.525.870;17.301.438.805.874;2.859.755.995.255.990;2.620.184.410.213.020;771.628.846.168.959;12.710.691.480.373.700
Bucaramanga;2020;2;3.660.843.932.628.720;6.843.226.600.541.210;30.038.599.341.724.900;10.043.907.735.727.300;2.022.097.988.238.020;22.311.262.297.176.000;5.319.909.067.003.810;8.678.940.002.008.380
Pereira;2018;11;27.501.934.482.424.500;7.461.083.173.701.450;25.851.959.299.707.800;12.088.918.506.521.000;27.081.082.520.490.800;2.544.484.668.169.030;923.352.648.956.888;12.812.806.845.361.500
Cúcuta;2018;2;29.883.606.017.875.800;26.778.880.053.014.500;3.317.686.313.054.550;8.809.152.288.120.140;21.377.435.578.201.200;2.246.183.280.722.590;7.279.167.184.788.450;6.775.616.238.750.510
Cartagena;2020;1;5.032.944.732.590.000;6.157.794.455.676.330;2.266.208.632.400.280;30.681.046.389.210.800;42.661.533.796.437.800;28.146.908.969.015.700;100.0;8.510.734.252.315.420
Bogotá;2018;10;45.997.689.761.338.300;9.009.643.383.515.820;29.732.152.090.075.800;39.660.205.678.899.700;3.097.964.445.263.450;22.570.169.442.222.000;624.092.466.708.491;11.629.320.576.551.900
Cali;2022;2;55.672.140.207.464.100;6.153.126.833.641.440;36.021.953.187.712;12.902.795.292.032.400;17.964.328.116.441.300;2.912.044.548.390.230;8.922.916.034.035.830;14.135.207.285.546.800
Santa Marta;2023;7;20.140.651.649.341.100;5.525.476.647.216.070;18.488.237.061.082.200;109.709.045.279.721;4.008.955.828.599.230;17.099.857.113.939.700;6.999.764.844.029.090;8.470.242.571.161.060
Pereira;2015;9;2.985.212.646.969.930;11.555.377.852.061.800;27.422.442.324.896.400;12.937.827.977.176.600;18.500.800.607.638.600;21.361.799.652.605.200;100.0;7.616.360.924.261.720
Bucaramanga;2018;6;4.638.472.543.190.160;1.063.815.438.039.160;6.121.377.627.776.510;821.253.576.364.136;11.231.037.733.060.100;1.903.300.215.708.980;6.577.598.866.757.140;13.930.028.154.488.800
Pereira;2018;10;41.721.175.115.193.300;7.935.149.824.964.310;3.202.503.019.063.350;1.395.264.781.712.670;2.996.349.015.080.630;23.943.180.320.311.300;100.0;12.450.745.671.257.300
Cúcuta;2016;2;5.798.570.573.881.430;9.277.821.222.960.090;445.466.254.346.249;7.932.985.508.549.440;5.288.717.309.207.970;20.606.660.275.587.100;7.659.739.079.273.150;10.594.894.000.627.100
Barranquilla;2020;12;4.130.805.058.856.100;2.548.129.164.083.840;12.555.639.522.513.000;15.583.414.163.711.200;806.803.045.300.935;20.852.429.064.531.800;8.270.447.137.172.740;14.724.475.392.893.100
Bogotá;2017;10;6.272.163.656.158.320;54.248.971.187.425.800;24.086.187.395.720.500;11.723.194.697.357.700;14.028.144.941.170.800;18.476.168.183.748.700;9.550.498.665.904.090;1.778.802.205.791.220
Bogotá;2021;10;4.310.026.702.584.710;6.060.084.253.653.690;33.804.813.009.141.100;8.965.015.647.576.910;39.030.307.957.930.100;1.969.632.241.535.720;58.183.685.647.918.500;1.146.366.711.411.320
Santa Marta;2019;9;509.325.117.138.299;6.528.039.802.266.100;25.314.174.734.665.500;11.060.465.220.880.400;22.292.143.204.656.400;21.948.614.680.416.600;8.453.645.269.040.130;7.640.512.932.537.340
Barranquilla;2018;7;30.147.275.798.233.100;6.020.111.958.052.070;2.665.099.551.493.220;991.069.649.512.541;37.343.382.806.958.500;11.893.274.244.084.100;6.560.869.988.693.790;11.989.236.426.150.100
Manizales;2019;11;35.214.308.178.259.800;1.899.947.416.967.300;21.090.005.584.763.600;17.980.532.576.564.600;19.950.133.116.696.600;10.491.180.719.844.100;7.226.678.318.981.390;67.202.644.537.888
Medellín;2022;1;48.664.166.057.592.100;777.204.923.741.712;20.718.477.469.120.800;11.227.188.112.893.900;31.703.546.128.910.100;22.295.729.711.537.400;7.124.591.886.115.880;14.968.651.064.717.100
Cali;2017;12;5.919.467.255.889.580;8.087.308.256.561.210;24.133.058.464.146.200;9.991.936.638.027.450;5.093.368.710.462.580;8.154.117.173.832.290;7.858.616.104.647.710;7.193.402.264.682.330
Bogotá;2021;9;4.593.855.423.966.120;10.203.797.583.179.900;2.541.671.422.139.350;8.807.545.714.746.000;1.566.492.423.573.750;21.034.288.615.959.600;7.795.276.490.877.990;9.227.438.296.386.230
Cartagena;2020;2;33.752.423.420.980.700;5.423.381.470.450.070;13.185.587.384.226.900;14.215.921.096.225.000;4.228.512.972.164.760;2.011.418.119.404.390;6.137.207.619.976.790;6.649.294.273.026.450
Bogotá;2015;4;55.660.025.442.925.100;5.259.673.684.440.190;24.339.780.140.539.700;13.539.566.695.267.500;38.156.481.559.585.000;2.471.018.934.930.430;7.187.281.256.492.350;1.072.869.306.308.340
Pereira;2021;9;5.0;16.400.310.280.710.600;40.685.339.387.093.200;8.630.791.848.436.850;12.129.068.986.813.000;18.639.908.104.740.300;3.498.496.270.960.280;10.869.817.151.740.000
Bogotá;2021;4;13.666.482.477.396.800;6.412.866.326.818.220;20.808.662.064.110.900;4.221.792.426.885.950;36.706.806.284.901.200;2.984.757.384.645.980;8.485.260.497.176.670;12.970.583.816.934.500
Bogotá;2015;3;45.224.513.355.025.800;8.802.223.562.124.340;12.627.450.171.253.700;5.490.159.308.108.230;30.873.673.546.351.200;26.240.814.366.152.100;9.540.912.555.521.670;10.478.568.751.843.900
Medellín;2023;1;35.211.625.343.796.800;5.776.464.275.614.560;23.485.839.320.135.700;907.918.730.228.902;31.093.128.118.964.700;1.443.852.984.174.240;7.285.942.073.023.070;1.018.506.819.077.210
Medellín;2020;7;4.408.270.476.686.240;11.286.889.637.087.200;17.853.871.878.757.000;16.744.637.530.595.400;3.403.821.079.742.040;20.578.268.212.628.200;4.590.966.679.790.860;7.704.479.646.422.450
Bucaramanga;2016;6;35.966.112.836.479.100;6.486.810.328.420.950;11.616.581.746.780.600;874.911.685.376.543;2.579.560.986.701.030;29.635.925.720.919.300;8.114.421.454.340.700;8.854.610.762.293.130
Manizales;2019;10;4.356.418.541.905.800;7.293.984.568.577.110;2.639.168.461.732.620;7.029.381.950.172.170;30.841.187.507.308.700;1.851.184.047.300.230;5.854.345.725.099.660;4.428.348.076.053.570
Cartagena;2018;4;2.278.395.768.510.210;4.273.793.838.836.810;1.789.717.962.848.920;11.964.034.337.567.600;32.897.429.100.483.400;21.735.538.374.872.900;7.273.474.517.091.910;15.574.803.632.077.200
Bogotá;2021;6;4.355.729.129.119.530;7.574.440.690.350.550;1.875.285.833.146.720;1.756.770.717.801.140;3.895.269.526.662.630;29.020.637.879.273.800;802.826.369.109.457;9.622.792.710.158.280
Bogotá;2022;6;4.991.621.792.311.370;30.413.604.102.946.000;2.653.427.380.385.380;128.451.407.299.073;11.674.067.599.463.000;1.929.702.191.968.610;7.819.675.569.277.980;16.562.785.726.413.800
Cali;2015;4;5.330.825.905.896.840;838.739.591.002.629;9.668.254.046.376.650;13.980.049.850.029.200;4.549.063.075.789.320;27.614.899.700.414.400;8.621.282.874.790.060;9.515.883.810.090.380
Medellín;2019;6;652.033.144.197.305;8.448.856.352.470.820;7.584.303.497.488.750;14.808.440.259.646.800;1.613.651.588.328.940;17.450.001.986.931.900;721.957.095.959.431;2.391.502.725.718.580
Cartagena;2017;10;386.614.766.525.358;971.858.284.867.302;31.708.721.945.019.300;9.176.348.856.205.180;39.139.541.569.756.600;7.561.930.749.269.400;726.004.241.493.555;819.842.431.037.011
Santa Marta;2015;11;3.910.866.630.270.760;4.960.062.562.464.620;5.691.663.992.759.170;10.422.953.168.737.600;3.095.334.119.127.330;28.142.646.582.203.100;810.518.556.166.549;9.989.575.075.976.710
Bucaramanga;2017;8;12.152.413.037.392.200;7.321.124.236.594.830;15.233.223.046.926.400;1.744.300.970.975.990;14.626.123.886.415.600;2.419.367.520.028.730;6.892.911.145.662.040;10.261.401.446.882.300
Manizales;2020;3;27.028.828.982.923.600;8.127.633.118.773.000;7.001.604.646.115.620;10.897.904.446.595.600;3.633.774.563.644.800;2.452.282.137.667.230;5.968.146.371.582.790;12.707.348.907.051.900
Barranquilla;2021;4;3.210.376.888.990.080;788.456.327.666.062;20.138.635.331.511.600;12.937.626.450.319.900;18.655.120.329.657.900;1.653.518.604.347.360;7.678.027.637.234.330;10.695.521.937.824.200
Manizales;2022;10;5.075.479.328.414.530;5.269.401.449.730.290;29.280.587.476.511.600;14.352.753.586.002.500;4.282.554.666.189.160;16.933.236.917.515.600;5.306.705.533.432.170;8.652.014.946.190.080
Pereira;2018;12;25.834.983.138.655.500;22.160.362.208.877.100;26.123.379.487.323.700;13.214.656.662.113.200;2.146.998.193.798.500;27.752.182.598.680.600;6.878.664.779.217.700;634.004.119.059.185
Bogotá;2017;1;4.694.510.029.623.240;7.693.920.593.768.960;4.891.873.389.457.280;9.359.154.148.667.530;12.060.166.828.735.400;23.216.036.537.021.300;49.333.348.114.040.000;8.374.526.562.951.870
Bucaramanga;2019;4;349.756.742.455.493;669.500.064.338.016;35.869.156.177.890.000;9.830.580.785.930.400;4.840.614.126.043.550;214.127.197.133.112;6.167.781.050.793.450;12.418.103.374.434.900
Pereira;2023;11;3.234.247.827.327.850;58.666.588.140.771.100;15.688.421.498.433.900;1.388.820.218.987.970;321.758.840.548.429;23.104.633.310.570.800;6.229.988.684.892.790;13.433.650.836.406.900
Cartagena;2020;10;3.873.340.953.699.880;8.527.890.727.430.930;13.029.449.951.735.800;1.388.001.429.967.360;40.406.293.509.135.700;295.425.276.500.615;55.236.758.857.363;730.457.194.450.461
Barranquilla;2023;10;29.132.654.416.207.300;6.910.160.923.691.130;5.206.687.940.975.500;15.841.162.995.097.300;19.782.337.454.959.500;2.561.844.113.526.280;8.650.797.831.167.780;1.402.798.582.485.100
Medellín;2020;12;2.856.444.127.861.000;4.361.609.894.464.400;3.562.572.005.733.360;12.755.484.916.549.100;7.298.273.559.501.590;1.962.677.401.307.420;8.526.987.399.698.450;12.276.256.295.291.100
Bucaramanga;2016;9;9.428.211.413.148.280;31.370.954.218.075.500;30.893.696.072.695.700;12.983.028.067.960.200;50.102.429.089.053.300;1.498.256.069.439.970;8.971.019.114.168.900;6.451.663.195.152.570
Bucaramanga;2019;8;31.280.686.890.081.600;4.742.073.469.733.660;25.748.518.122.156.100;7.768.833.166.077.760;29.922.878.253.852.600;24.940.268.809.138.900;6.718.233.665.736.510;10.986.820.202.226.300
Bogotá;2023;11;27.800.477.807.769.100;11.786.024.589.533.500;27.735.215.674.750.100;7.094.252.444.640.490;3.589.622.272.996.250;17.380.159.946.828.800;6.349.588.017.218.130;11.479.068.251.971.200
Cúcuta;2022;4;27.260.285.159.763.800;8.445.553.547.865.540;10.179.267.245.175.700;13.903.153.371.757.400;3.787.914.936.717.920;16.088.115.311.906.100;8.205.377.207.882.200;5.742.228.795.147.350
Bucaramanga;2021;12;41.253.095.938.850.600;7.377.224.683.950.020;2.657.039.170.196.760;7.129.074.659.918.120;25.975.307.363.811.700;2.857.874.593.437.030;7.192.619.342.664.840;4.565.449.490.437.260
Cali;2015;7;4.487.947.929.185.760;663.667.814.562.839;25.712.313.974.590.100;989.649.498.441.569;32.714.754.571.386.100;26.362.028.733.790.700;7.185.276.193.548.740;11.895.276.181.615.300
Barranquilla;2018;10;38.482.917.569.634.900;6.505.214.120.105.120;159.586.115.689.852;16.895.116.204.856.400;4.912.743.111.006.530;23.928.429.633.402.400;31.842.980.490.775.000;8.182.896.048.220.030
Barranquilla;2021;3;4.993.122.785.674.210;933.439.196.671.819;19.614.735.464.315.200;16.102.851.461.725.400;29.610.705.253.448.000;15.808.014.695.313.700;813.477.190.472.722;1.604.840.684.213.450
Cali;2021;9;4.363.342.888.745.540;6.018.808.516.193.130;4.015.176.393.443.550;11.508.944.153.985.900;41.305.215.797.034.900;3.094.633.030.383.540;7.935.962.473.693.840;16.884.265.113.341.200
Santa Marta;2020;10;3.057.415.715.291.530;8.153.840.821.368.580;23.748.250.797.051.300;851.930.210.083.145;610.503.623.963.254;27.144.341.573.579.200;6.991.875.365.335.510;11.887.957.156.406.100
Cali;2022;4;28.057.155.714.284.300;6.303.144.099.416.810;4.571.171.302.533.110;9.383.105.448.282.470;43.485.127.563.830.500;2.048.107.199.468.800;8.223.771.661.696.090;13.806.960.427.084.400
Cali;2020;2;396.923.335.515.027;10.880.313.263.670.100;7.593.205.635.126.160;14.338.300.705.278.000;11.735.948.423.928.300;1.942.359.970.919.560;7.902.552.984.205.840;5.904.586.213.746.650
Barranquilla;2024;10;4.360.650.664.852.850;8.484.577.015.156.600;19.778.698.137.742.500;9.817.503.612.769.170;4.211.290.588.840.200;22.392.448.706.544.600;5.954.972.372.730.320;467.241.325.576.562
Manizales;2017;5;5.596.766.460.547.240;9.491.113.629.367.250;9.527.214.487.530.810;7.208.588.034.948.670;3.468.757.464.541.520;19.607.906.667.306.700;667.032.062.359.321;9.434.342.751.762.800
Barranquilla;2018;2;5.286.759.567.410.140;5.831.180.450.623.520;12.905.775.461.081.600;1.607.887.378.203.980;2.884.895.188.711.340;33.059.269.783.925.500;54.883.222.074.924.500;48.537.576.469.639.200
Cúcuta;2017;10;26.877.904.902.392.400;9.116.272.225.134.840;16.717.942.943.407.000;10.908.000.695.646.400;28.804.941.345.504.800;20.072.358.126.475.600;9.193.358.479.862.730;11.230.550.835.051.000
Bogotá;2015;6;3.346.990.579.809.100;63.748.451.492.106.100;28.153.096.267.705.900;71.137.208.950.412.600;26.967.226.879.711.900;16.660.585.642.298.800;8.465.770.717.871.640;6.865.294.517.418.290
Pereira;2024;11;4.506.526.707.376.650;7.220.069.647.865.690;27.668.261.710.803.800;12.394.700.944.663.100;2.015.196.576.667.720;2.994.207.929.166.530;5.779.123.991.726.930;10.761.823.227.986.300
Manizales;2019;10;5.101.996.667.088.450;10.270.095.341.238.900;18.207.096.803.723.900;1.485.609.206.596.250;27.528.284.656.439.400;19.154.690.833.564.400;7.928.313.274.742.330;9.307.592.327.390.670
Medellín;2015;1;4.908.454.203.057.180;4.914.449.886.487.160;5.0;4.961.634.676.061.190;56.496.708.930.109.000;25.932.150.540.583.600;7.417.888.502.255.520;12.549.409.488.774.500
Pereira;2015;6;340.418.325.075.298;74.064.954.626.108;3.977.692.873.032.150;8.997.730.433.235.320;4.562.768.052.941.670;25.376.938.030.430.300;5.971.070.611.751.090;11.305.355.121.581.700
Bogotá;2016;4;16.189.660.213.572.200;7.876.010.517.037.450;22.142.352.839.636.400;876.658.316.205.794;19.547.961.857.730.700;2.170.718.974.727.470;7.186.490.512.942.700;8.384.307.435.594.330
Cúcuta;2018;3;2.001.595.435.631.610;804.000.876.160.162;13.837.098.296.988.600;12.261.435.828.917.300;3.321.224.882.792.740;17.135.016.177.386.500;8.287.577.046.151.770;4.526.457.339.605.980
Cúcuta;2020;2;39.089.502.714.791.200;60.984.310.138.130.600;27.749.307.810.700.800;13.160.041.614.299.200;3.115.174.995.883.710;2.175.908.536.510.800;8.409.879.291.195.330;10.650.042.351.436.400
Medellín;2022;7;4.013.338.369.136.510;11.172.528.201.616.100;2.704.445.170.523.170;7.242.630.443.602.570;28.292.478.683.883.900;16.150.694.468.338.900;100.0;30.300.938.365.324.200
Manizales;2017;9;18.519.809.398.484.200;44.101.362.293.194.700;2.177.323.535.000.030;2.536.244.120.469.870;1.796.666.932.035.020;21.881.411.187.315.400;7.141.433.729.757.640;149.844.276.433.435
Santa Marta;2015;12;3.566.854.416.333.900;9.917.770.777.264.930;26.485.310.156.415.000;15.158.993.772.997.000;3.535.077.581.767.980;2.586.390.733.229.820;6.643.316.598.833.030;1.211.573.632.121.660
Cali;2017;3;4.446.836.535.457.670;9.430.131.211.183.270;13.449.701.595.919.800;4.400.273.647.113.930;40.152.859.558.975.600;30.588.900.330.959.900;7.843.210.395.816.750;13.371.098.289.147.800
Manizales;2017;6;1.773.160.013.739.280;10.801.777.579.207.300;3.259.912.843.176.480;11.355.921.025.219.300;19.993.215.779.198.600;16.560.754.420.278.500;6.725.556.191.398.480;6.122.063.866.761.210
Santa Marta;2019;9;5.157.495.802.706.620;382.354.580.258.436;15.031.329.052.431.200;934.009.550.634.659;5.346.649.700.747.040;2.074.770.698.002.030;6.122.643.339.575.680;11.424.324.419.906.100
Cúcuta;2018;2;29.337.032.771.602.600;52.623.370.242.205.700;1.894.430.344.696.560;10.812.219.526.020.300;4.826.403.899.082.660;19.375.944.578.873.500;5.611.325.146.200.320;7.333.588.776.868.460
Barranquilla;2018;7;5.386.419.668.864.970;9.983.886.118.323.280;31.488.018.161.515.700;18.256.169.858.534.200;3.657.798.670.741.470;2.336.869.688.753.740;20.0;10.596.278.852.730.200
Bogotá;2023;5;26.998.213.313.361.400;32.459.216.907.393.800;37.039.589.650.102.300;2.519.140.806.810.910;1.521.936.356.797.420;143.909.581.184.459;810.225.914.531.126;6.006.255.480.994.600
